NODEID,ONSTREETNAME,FROMSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
41484,24 STREET,35 AVENUE,Q,07/17/2019 13:38:07,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
41484,24 STREET,35 AVENUE,Q,07/17/2019 13:38:07,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
12230,2 AVENUE,48 STREET,B,08/29/2019 00:00:00,09/06/2019 23:59:59,DOT IN-HOUSE PAVING
41487,21 STREET,34 AVENUE,Q,07/17/2019 13:39:42,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
41487,21 STREET,34 AVENUE,Q,07/17/2019 13:39:43,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
41488,21 STREET,33 ROAD,Q,07/17/2019 13:40:12,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
41488,21 STREET,33 ROAD,Q,07/17/2019 13:40:13,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
41545,28 STREET,35 AVENUE,Q,07/17/2019 13:36:45,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
47847,EAST  171 STREET,3 AVENUE,X,09/17/2019 00:00:00,09/19/2019 23:59:59,DOT IN-HOUSE PAVING
41846,46 STREET,NEWTOWN ROAD,Q,07/17/2019 11:26:37,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
41846,46 STREET,NEWTOWN ROAD,Q,07/17/2019 11:26:37,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
41846,46 STREET,NEWTOWN ROAD,Q,07/17/2019 11:30:48,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
41846,46 STREET,NEWTOWN ROAD,Q,07/17/2019 11:30:49,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
65075,AMBOY ROAD,PARKER STREET,S,07/02/2019 14:52:04,08/02/2019 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
41845,45 STREET,NEWTOWN ROAD,Q,07/17/2019 11:38:23,09/14/2019 23:59:59,DOT IN-HOUSE PAVING
101018,HRP SB ENTRANCE WESTCHESTER AVE,WESTCHESTER AVENUE,X,09/27/2019 00:00:00,09/30/2019 23:59:59,DOT IN-HOUSE MILLING
65505,50 STREET,DAHILL ROAD,B,08/21/2019 00:00:00,08/23/2019 23:59:59,DOT IN-HOUSE PAVING
64110,51 STREET,QUEENS BOULEVARD,Q,07/29/2021 13:18:24,09/30/2021 23:59:59,DOT IN-HOUSE PAVING
17806,EAST   32 STREET,KINGS HIGHWAY,B,11/18/2019 00:00:00,11/20/2019 23:59:59,DOT IN-HOUSE MILLING
52234,CASTLE HILL AVENUE,TURNBULL AVENUE,X,06/26/2020 09:41:26,06/30/2020 23:59:59,DOT IN-HOUSE PAVING
15338,DUTCH STREET,JOHN STREET,M,11/10/2019 00:00:00,01/01/2020 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
15340,JOHN STREET,WILLIAM STREET,M,11/10/2019 00:00:00,01/01/2020 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
52235,CASTLE HILL AVENUE,HERMANY AVENUE,X,06/26/2020 09:41:28,06/30/2020 23:59:59,DOT IN-HOUSE PAVING
52270,CASTLE HILL AVENUE,LAFAYETTE AVENUE,X,06/26/2020 09:41:25,06/30/2020 23:59:59,DOT IN-HOUSE PAVING
39433,241 STREET,MERRICK BOULEVARD,Q,11/14/2019 11:54:28,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
30424,EDSALL AVENUE,71 PLACE,Q,09/10/2019 11:09:59,10/25/2019 23:59:59,DOT IN-HOUSE MILLING
52779,LYVERE STREET,ZEREGA AVENUE,X,06/23/2020 10:41:34,06/30/2020 23:59:59,DOT IN-HOUSE PAVING
18178,ST PAULS PLACE,WOODRUFF AVENUE,B,07/22/2021 00:00:00,07/27/2021 23:59:59,DOT IN-HOUSE MILLING
22759,EAST   63 STREET,LEXINGTON AVENUE,M,10/21/2019 13:28:19,11/23/2019 23:59:59,DOT IN-HOUSE PAVING
29538,ARLINGTON AVENUE,CLEVELAND STREET,B,06/17/2019 00:00:00,06/21/2019 23:59:59,DOT IN-HOUSE PAVING
59387,42 ROAD,196 STREET,Q,10/23/2019 14:35:07,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59393,196 STREET,STATION ROAD,Q,10/23/2019 14:22:08,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
70059,118 ROAD,192 STREET,Q,04/03/2019 08:36:22,04/26/2019 23:59:59,DOT IN-HOUSE MILLING
70059,118 ROAD,192 STREET,Q,04/03/2019 08:36:23,04/26/2019 23:59:59,DOT IN-HOUSE PAVING
59394,42 AVENUE,196 STREET,Q,10/23/2019 14:22:10,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59394,42 AVENUE,196 STREET,Q,10/23/2019 14:22:11,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59395,FRANCIS LEWIS BOULEVARD,STATION ROAD,Q,10/23/2019 14:39:25,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59395,FRANCIS LEWIS BOULEVARD,STATION ROAD,Q,10/23/2019 14:39:25,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59419,32 AVENUE,202 STREET,Q,10/21/2019 09:34:07,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59420,33 AVENUE,202 STREET,Q,10/21/2019 09:34:09,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
51500,34 AVENUE,COLLINS PLACE,Q,04/15/2019 13:55:26,07/14/2019 23:58:59,CONTRACT ROADWAY MILLING
59420,33 AVENUE,202 STREET,Q,10/21/2019 09:34:10,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59421,33 AVENUE,203 STREET,Q,10/21/2019 09:33:50,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59467,42 ROAD,FRANCIS LEWIS BOULEVARD,Q,10/23/2019 14:35:10,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
65459,18 AVENUE,67 STREET,B,07/23/2019 00:00:00,07/29/2019 23:59:59,DOT IN-HOUSE PAVING
25394,EAST   32 STREET,KINGS HIGHWAY,B,11/18/2019 00:00:00,11/20/2019 23:59:59,DOT IN-HOUSE MILLING
69280,263 STREET,BEND,Q,05/13/2020 14:09:37,06/26/2020 23:59:59,DOT IN-HOUSE MILLING
71618,BORG COURT,CATHERINE STREET,S,03/27/2020 09:09:03,06/25/2020 23:58:59,MAJOR INSTALLATION - GAS
